"D","coefficient_distance","coefficient_refit_distance","fit_distance","refit_distance","names","id","prft","false_positives","false_negatives","noise","coefficient_probability","regression_model","normal_samples","coefficients"
0.265084894991099,1.98745397577362,1.70622420338436,35.5614525380464,30.4940286909291,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,36,0,1,0.15,"linear",0,61
0.553703393238747,1.3014822824986,1.22216911670722,23.7009845740305,22.3912682071061,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,38,0,1,0.15,"linear",0,61
0.258778208217969,3.74328212734711,2.3099950569209,71.073744708117,43.8191522788004,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,24,0,2,0.15,"linear",0,61
0.555236562310569,2.97277496352172,1.95156835257148,55.4739552685909,37.0163586861166,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,27,0,2,0.15,"linear",0,61
0.259239314289091,8.71671325357157,5.15925572787975,156.410992575638,95.855534752984,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,9,2,4,0.15,"linear",0,61
0.555778284691866,6.05283929460077,4.03778338329671,110.044366105588,75.330015613192,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,17,1,4,0.15,"linear",0,61
0.260394949806014,17.2660416423257,8.80342838847477,319.033168527006,163.389025453099,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,6,3,8,0.15,"linear",0,61
0.556251586673123,12.9900323200462,8.24785232269672,238.046090076697,148.400561207971,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,12,2,8,0.15,"linear",0,61
0.260982052989263,32.8941891342979,18.8907987034553,598.845619923488,354.765793409908,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,13,7,16,0.15,"linear",0,61
0.557088167414438,24.5816174870499,16.8086528235738,464.632112465586,307.768787841907,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,8,10,16,0.15,"linear",0,61
0.25881116208123,70.8917315951881,43.7959110245923,1304.50448263009,817.806156198264,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,15,11,32,0.15,"linear",0,61
0.549188186915527,46.8274848989661,22.3033662802042,889.600407537357,432.471258670738,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,4,10,32,0.15,"linear",0,61
0.261024089743432,148.372513815542,45.4739195816734,2592.24589763539,836.921289497429,"Federov with Uniform Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,4,11,64,0.15,"linear",0,61
0.551878065647441,118.08192349235,47.0036909797348,2182.46066421126,888.710953492691,"Federov with Biased Sample","7ac02586-9963-4945-b1f8-3840797ebfd7",0.1,6,11,64,0.15,"linear",0,61
