"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,0.806268186999093,34.7927849293371,1,29,0,30,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"uniform","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.1,1.15295924494507,30.776250170012,1,10,0,11,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"uniform","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.01,0.905339987041342,33.0790715883726,1,0,0,1,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"uniform","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.001,0.905339987041342,33.0790715883726,1,0,0,1,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"uniform","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
Inf,0.133977662961469,39.901015961187,1,29,0,30,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"biased","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.1,0.0775253767376443,38.5426737485,1,3,0,4,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"biased","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.01,0.905339987041342,39.0968965228856,1,0,0,1,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"biased","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
0.001,0.905339987041342,39.0968965228856,1,0,0,1,1,5.74148372863419,6.80864550638944,6.12278304062784,8.39596694102511,7.63560138293542,7.86603339831345,7.11632789461873,6.26933175488375,9.39231215626933,6.30077936802991,9.36346583301201,5.66363957826979,8.63095581880771,9.47866669623181,9.25148719572462,9.1341163450852,8.05154881556518,8.0751654994674,0.958123528584838,5.96685029217042,6.5710903389845,7.04263214254752,9.15994847891852,8.59264504513703,5.9326518396847,9.01622769189999,8.25572435744107,7.99029202316888,8.39130127686076,7.01525877579115,"biased","linear","1e1fdb41-de2a-4853-b8b7-b2994559c65e",30,30,1.33951252966654
Inf,1.63268440279012,38.0163169190551,1,29,0,30,1,5.03147034323774,5.46737536322325,9.08462589606643,8.00481799873523,6.78622646490112,9.60204331437126,8.94035363337025,8.63506691879593,6.33977331919596,7.3834446456749,5.8180487412028,5.17094263224863,8.31040404038504,9.35808152891695,7.58337785839103,5.62785915331915,0.994907435681671,8.24730629217811,7.25412951898761,5.72938899043947,7.69678253098391,8.16315461648628,7.27274660952389,8.1654910382349,7.06956266891211,6.93819012143649,6.84347507893108,5.08322910754941,9.04808284365572,7.63873129035346,"uniform","linear","294ebb91-94b5-427b-ac22-c56da6892471",30,30,1.45742079080082
0.1,1.36768364685737,37.3323244551939,0,15,1,15,1,5.03147034323774,5.46737536322325,9.08462589606643,8.00481799873523,6.78622646490112,9.60204331437126,8.94035363337025,8.63506691879593,6.33977331919596,7.3834446456749,5.8180487412028,5.17094263224863,8.31040404038504,9.35808152891695,7.58337785839103,5.62785915331915,0.994907435681671,8.24730629217811,7.25412951898761,5.72938899043947,7.69678253098391,8.16315461648628,7.27274660952389,8.1654910382349,7.06956266891211,6.93819012143649,6.84347507893108,5.08322910754941,9.04808284365572,7.63873129035346,"uniform","linear","294ebb91-94b5-427b-ac22-c56da6892471",30,30,1.45742079080082
