"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,4.17766809546386,86.1388385350892,3,27,0,30,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"uniform","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.1,4.17766809546386,86.1388385350892,0,0,3,0,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"uniform","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.01,4.17766809546386,86.1388385350892,0,0,3,0,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"uniform","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.001,4.17766809546386,86.1388385350892,0,0,3,0,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"uniform","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
Inf,1.09552017157718,72.7987969920522,3,27,0,30,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"biased","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.1,3.89077795351596,67.9078505569468,2,0,1,2,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"biased","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.01,1.09552017157718,72.7987969920522,0,0,3,0,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"biased","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
0.001,1.09552017157718,72.7987969920522,0,0,3,0,3,13.1916707893834,14.5231016073376,19.8968893243,14.6733381552622,23.2984338607639,26.253736349754,16.3949516601861,11.3755396474153,16.4985676342621,18.6953132133931,0.214280765457079,11.8901420012116,26.0302996030077,15.4778367932886,24.2711887368932,21.6874101851135,12.4591495562345,12.7282388275489,17.7372731314972,20.2232561539859,29.2654311237857,27.0984612591565,12.7901297761127,0.172707966994494,16.1770643340424,20.0873165903613,27.9661912983283,19.2853731941432,10.3400885220617,0.343590814864729,"biased","linear","8f701891-2d97-4a34-808d-75b6a227677d",30,30,1.22771095554344
Inf,10.7314065993198,200.213593032389,4,26,0,30,4,27.7599653461948,22.9356728401035,19.473134111613,0.0951632321579382,20.2635400602594,21.0912663862109,25.7141061034054,15.0349193485454,17.6472574006766,17.0622296491638,0.164191659062635,11.8717053113505,23.4993192600086,29.3504937924445,28.7773780617863,0.418477974785492,12.2403015429154,0.369621418451425,19.4367164326832,19.8128407169133,29.026936981827,13.3841336006299,22.2446492128074,16.2759683933109,17.3026456870139,13.5133533319458,12.5459277583286,22.4133780831471,21.6317546367645,14.7043623495847,"uniform","linear","c95daba5-8f19-459b-a54c-dfbfe7c4db01",30,30,2.79630440473557
0.1,10.4485084652949,168.172157659287,2,2,2,4,4,27.7599653461948,22.9356728401035,19.473134111613,0.0951632321579382,20.2635400602594,21.0912663862109,25.7141061034054,15.0349193485454,17.6472574006766,17.0622296491638,0.164191659062635,11.8717053113505,23.4993192600086,29.3504937924445,28.7773780617863,0.418477974785492,12.2403015429154,0.369621418451425,19.4367164326832,19.8128407169133,29.026936981827,13.3841336006299,22.2446492128074,16.2759683933109,17.3026456870139,13.5133533319458,12.5459277583286,22.4133780831471,21.6317546367645,14.7043623495847,"uniform","linear","c95daba5-8f19-459b-a54c-dfbfe7c4db01",30,30,2.79630440473557
