"D","coefficient_distance","linear_fit_distance","names","id"
0.182793636039737,8.80138577860528,404.669476530676,"Uniform Sample",1
0.415949166082928,4.05731515385067,116.421253196388,"Biased Sample",1
0.193859155919243,7.58682362393852,880.379601548838,"Uniform Sample",2
0.449774894579108,5.21304246640148,56.1233330540281,"Biased Sample",2
0.199972847392788,13.1942382869693,1235.92017500984,"Uniform Sample",3
0.449514201743368,5.42373324336222,579.685173419912,"Biased Sample",3
0.187502346586318,13.5348862549114,840.306261529002,"Uniform Sample",4
0.467159353447978,4.82676236591996,144.250111145405,"Biased Sample",4
0.203299320704268,7.42528751986454,791.424071812609,"Uniform Sample",5
0.475388971025264,3.93697254851455,561.582216553785,"Biased Sample",5
0.194941431621341,7.11838276676817,472.425503264174,"Uniform Sample",6
0.459868726269195,7.16043035220825,449.422342942254,"Biased Sample",6
0.19773874111445,12.1663429135528,523.020878519534,"Uniform Sample",7
0.451445731109484,7.90526307440548,92.0658190419353,"Biased Sample",7
0.187764168585767,6.41662992469571,31.4089608976354,"Uniform Sample",8
0.433862193901617,9.19758464322121,89.4927199175331,"Biased Sample",8
0.187308451616589,8.52630459542087,595.148528949929,"Uniform Sample",9
0.439624014282963,6.43074611618207,288.757519716123,"Biased Sample",9
0.197646943625799,6.55968636189426,262.683216197069,"Uniform Sample",10
0.459964734020905,7.84571230287228,999.644404722933,"Biased Sample",10
0.192580256738938,9.5502759466244,675.16408943348,"Uniform Sample",11
0.461694548668023,7.39102818780748,1030.61156963729,"Biased Sample",11
0.214806714992208,6.62058561278015,617.182680371484,"Uniform Sample",12
0.458831567640362,7.94833361596055,777.462718226682,"Biased Sample",12
0.205089304525774,10.9887645403692,433.842295148037,"Uniform Sample",13
0.460123876726589,6.07339163054844,63.6415638111326,"Biased Sample",13
0.196183756474907,16.7470465723756,808.433342381535,"Uniform Sample",14
0.438084685239867,8.04700522662503,595.121050119949,"Biased Sample",14
0.22191949298967,6.40499622495045,146.554098953428,"Uniform Sample",15
0.446446214233506,6.11077383237751,87.4857398368825,"Biased Sample",15
0.187303874066948,12.0717473883987,1693.13162270574,"Uniform Sample",16
