"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,13.8357883585018,215.096868070711,3,27,0,30,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"uniform","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.1,9.07348465922559,178.33554411917,0,2,3,2,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"uniform","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.01,8.17825273106711,170.858637734983,0,1,3,1,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"uniform","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.001,13.8357883585018,215.096868070711,0,0,3,0,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"uniform","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
Inf,12.1694462130296,211.183415425891,3,27,0,30,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"biased","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.1,3.91072757420184,195.091006329801,0,2,3,2,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"biased","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.01,12.1694462130296,211.183415425891,0,0,3,0,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"biased","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
0.001,12.1694462130296,211.183415425891,0,0,3,0,3,16.3798880437389,13.9734703116119,19.9950324324891,17.3021691897884,20.5488190567121,21.7406245088205,0.186996428854764,18.9457589713857,15.6736324261874,22.9771573096514,27.4197803344578,17.4251811066642,28.0473588313907,12.6365614170209,26.9721619319171,16.8603593437001,10.0466732075438,10.285006519407,23.3862245455384,23.1784926634282,12.8797704074532,20.8386557968333,10.7749176491052,18.6537126312032,0.127014214848168,11.1079302430153,25.8331837365404,0.330565849260893,26.2860579323024,25.799422301352,"biased","linear","b1c07707-0d21-480a-bbf3-ab7c416acfc3",30,30,2.80918562738225
Inf,11.4129622636429,235.877026531615,3,27,0,30,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"uniform","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.1,12.0476497347262,202.163801977292,0,7,3,7,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"uniform","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.01,15.0179980707837,178.587758315629,0,2,3,2,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"uniform","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.001,11.4129622636429,235.877026531615,0,0,3,0,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"uniform","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
Inf,14.5580670485046,193.480335715178,3,27,0,30,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"biased","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.1,12.3725637497664,174.503639163588,1,0,2,1,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"biased","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.01,14.5580670485046,193.480335715178,0,0,3,0,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"biased","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
0.001,14.5580670485046,193.480335715178,0,0,3,0,3,12.5681493058801,0.200462620460894,14.6943428693339,0.0603896466316655,13.3424508059397,24.9158233078197,12.2426639031619,12.7914843335748,28.2372775906697,11.3677870295942,0.0935623947880231,25.4051457857713,18.6200836393982,18.3666791161522,10.895480546169,22.8785637207329,18.7625407194719,22.7048007166013,24.6495853038505,17.9755665268749,14.7260077437386,11.3756317133084,29.4813817553222,12.7619605278596,10.9976384788752,23.1949600949883,11.5703736711293,29.7638724884018,22.223408119753,25.8488198183477,"biased","linear","287711c3-f8b3-459a-88dc-4fd4a504cc04",30,30,2.86228008754551
Inf,1.81675356534562,51.5932278665353,1,29,0,30,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"uniform","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
0.1,2.20336994682412,36.8011976964464,1,1,0,2,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"uniform","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
0.01,1.81675356534562,51.5932278665353,0,0,1,0,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"uniform","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
0.001,1.81675356534562,51.5932278665353,0,0,1,0,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"uniform","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
Inf,0.492272563039571,47.5967453870392,1,29,0,30,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"biased","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
0.1,0.492272563039571,48.266534223194,0,4,1,4,1,17.04470962286,27.3883718857542,26.3935088226572,27.0747243985534,17.5534968217835,26.5549705177546,25.5535903619602,23.0535788973793,19.6757637197152,17.9658464109525,15.3936535865068,25.8702534018084,21.8526533478871,21.9743452966213,12.8597849560902,15.2669886033982,0.490374424611218,20.8648540917784,26.3381614815444,13.2005450967699,19.1113576944917,22.0837509352714,16.1746140616015,12.7653490100056,29.5517639257014,25.0049728201702,14.7283506160602,16.5879826527089,12.6495483098552,11.3091938011348,"biased","linear","db9eb31f-6232-466b-9350-ef400ff574c9",30,30,1.31649182946421
