"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,1.02684698937316,28.2241842914553,1,29,0,30,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"uniform","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.1,1.02684698937316,21.5367341424881,1,16,0,17,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"uniform","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.01,1.02684698937316,27.9682808712829,0,6,1,6,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"uniform","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.001,1.67197026932128,30.9561988509848,0,1,1,1,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"uniform","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
Inf,0.832926438327731,25.5612576201569,1,29,0,30,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"biased","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.1,1.91183178155207,30.9653950572435,1,2,0,3,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"biased","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.01,0.832926438327731,25.5612576201569,0,0,1,0,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"biased","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
0.001,0.832926438327731,25.5612576201569,0,0,1,0,1,6.42570407129824,7.73903693188913,5.03669190220535,8.20482005481608,5.6253473542165,0.968679984007031,7.07607598626055,5.76274467282929,8.196025704965,6.80705169332214,6.53229564195499,5.46887230244465,8.44710719888099,7.72679045330733,8.9481902285479,8.92575608799234,5.2066945459228,8.54888511472382,7.4776384443976,6.95194941596128,5.9666116326116,8.81872032186948,5.33180341823027,8.15222884994,5.92902141273953,8.83662468171678,9.45421489188448,7.84859463106841,7.52377503551543,6.86916578095406,"biased","linear","e40d17aa-6e3d-4f58-9003-dca6caba4da1",30,30,1.1043159548426
Inf,1.91830091623171,58.7292243453832,3,27,0,30,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"uniform","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.1,0.839972006437488,50.5619329900725,2,3,1,5,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"uniform","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.01,3.70356829532156,59.8637984226946,1,0,2,1,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"uniform","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.001,1.91830091623171,58.7292243453832,0,0,3,0,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"uniform","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
Inf,1.762069840255,71.1933827134367,3,27,0,30,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"biased","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.1,1.762069840255,59.3159604508501,2,3,1,5,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"biased","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.01,3.21925082215811,65.2326107818649,1,1,2,2,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"biased","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
0.001,1.762069840255,71.1933827134367,0,0,3,0,3,5.54019079660065,9.74611446144991,6.57612349139526,7.48379048076458,5.08902884670533,8.72917348518968,6.64429596159607,6.14165869075805,1.05173600427806,0.984702314576134,9.34033909928985,9.08986398251727,7.43235703092068,9.4800159719307,7.78224817127921,6.26254455070011,9.71502525149845,6.12969110603444,0.961147044319659,7.59023119695485,9.59113173186779,7.56202630000189,7.36032892833464,6.05559246032499,6.03992076823488,9.56946886726655,5.21306276787072,5.24204701418057,7.04605635255575,5.51179784932174,"biased","linear","28bbdfa1-7e43-4d75-97a2-22fc967c8e25",30,30,1.417527286103
Inf,1.69778512263875,41.3861194294152,2,28,0,30,2,5.84964306675829,8.52780980058014,5.47357919975184,8.563237558119,5.73918478912674,6.74640100449324,7.12007227353752,7.66767828608863,9.51290313154459,1.06372997201979,9.7897668753285,8.53371013072319,9.42341897287406,5.78740335418843,8.07499985909089,9.35738510685042,9.74513883469626,7.48923876439221,8.37648645974696,8.05042531806976,9.28087382926606,9.78260718286037,6.99690403183922,8.49543283577077,5.42000388493761,1.06111772824079,9.62169997626916,6.09826901461929,9.23388554598205,5.32272831653245,"uniform","linear","350f731a-a388-4d17-b551-6ec8021c6103",30,30,1.48378019756638
0.1,1.69778512263875,39.2414133821527,2,13,0,15,2,5.84964306675829,8.52780980058014,5.47357919975184,8.563237558119,5.73918478912674,6.74640100449324,7.12007227353752,7.66767828608863,9.51290313154459,1.06372997201979,9.7897668753285,8.53371013072319,9.42341897287406,5.78740335418843,8.07499985909089,9.35738510685042,9.74513883469626,7.48923876439221,8.37648645974696,8.05042531806976,9.28087382926606,9.78260718286037,6.99690403183922,8.49543283577077,5.42000388493761,1.06111772824079,9.62169997626916,6.09826901461929,9.23388554598205,5.32272831653245,"uniform","linear","350f731a-a388-4d17-b551-6ec8021c6103",30,30,1.48378019756638
0.01,1.69778512263875,37.6384421858943,2,4,0,6,2,5.84964306675829,8.52780980058014,5.47357919975184,8.563237558119,5.73918478912674,6.74640100449324,7.12007227353752,7.66767828608863,9.51290313154459,1.06372997201979,9.7897668753285,8.53371013072319,9.42341897287406,5.78740335418843,8.07499985909089,9.35738510685042,9.74513883469626,7.48923876439221,8.37648645974696,8.05042531806976,9.28087382926606,9.78260718286037,6.99690403183922,8.49543283577077,5.42000388493761,1.06111772824079,9.62169997626916,6.09826901461929,9.23388554598205,5.32272831653245,"uniform","linear","350f731a-a388-4d17-b551-6ec8021c6103",30,30,1.48378019756638
0.001,2.16841404399219,44.4776613234728,1,1,1,2,2,5.84964306675829,8.52780980058014,5.47357919975184,8.563237558119,5.73918478912674,6.74640100449324,7.12007227353752,7.66767828608863,9.51290313154459,1.06372997201979,9.7897668753285,8.53371013072319,9.42341897287406,5.78740335418843,8.07499985909089,9.35738510685042,9.74513883469626,7.48923876439221,8.37648645974696,8.05042531806976,9.28087382926606,9.78260718286037,6.99690403183922,8.49543283577077,5.42000388493761,1.06111772824079,9.62169997626916,6.09826901461929,9.23388554598205,5.32272831653245,"uniform","linear","350f731a-a388-4d17-b551-6ec8021c6103",30,30,1.48378019756638
