"D","coefficient_distance","coefficient_refit_distance","fit_distance","refit_distance","names","id","prft","false_positives","false_negatives","noise","coefficient_probability","regression_model","normal_samples","coefficients"
0.26020685308197,2.75302854752101,1.99325198956609,50.8341055928314,35.9506531066234,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,38,0,1,0.15,"linear",0,61
0.553309427107896,1.48653183920261,0.995192710308219,27.7228124983449,18.0379856457067,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,32,0,1,0.15,"linear",0,61
0.259084137251298,5.52322237173759,4.46537921785287,97.5886675560341,81.3990803878724,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,28,1,2,0.15,"linear",0,61
0.550115291891734,2.70635396910287,1.72987269597727,50.5815830222129,32.3820672897149,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,26,0,2,0.15,"linear",0,61
0.259088189308403,10.1956387978137,4.16321704473092,184.709803049557,77.9171167309749,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,8,1,4,0.15,"linear",0,61
0.547433249039918,5.36202853481034,2.5466113744492,103.131960817717,47.7751102105312,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,10,0,4,0.15,"linear",0,61
0.26032552167459,21.3193019888313,8.67158746972314,387.337486333918,160.204320020625,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,9,1,8,0.15,"linear",0,61
0.556073643297239,13.2600405641088,5.08066747447289,245.211293486471,97.2924043574992,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,5,1,8,0.15,"linear",0,61
0.25694971776973,30.0967611463998,13.7408399288541,526.609595872816,263.702104018318,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,7,5,16,0.15,"linear",0,61
0.566029383890302,27.3391247523538,11.3730837259687,515.530911669885,207.591894795569,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,7,5,16,0.15,"linear",0,61
0.256849331683591,72.8210266837558,31.0833014330893,1384.59641426216,620.36894428439,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,9,6,32,0.15,"linear",0,61
0.556375737234361,49.0465339759479,24.8486273120812,903.21106037984,459.942785877403,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,4,4,32,0.15,"linear",0,61
0.256324755894958,172.060103477062,31.2475847990792,3082.47150765533,584.671301384779,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,3,6,64,0.15,"linear",0,61
0.554895614285316,114.378001487108,27.2038613789574,2142.68375841137,531.243130438557,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.1,3,5,64,0.15,"linear",0,61
0.263152643559498,2.0777368857685,1.32088337764936,38.1261275080852,24.5036104306384,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.01,29,0,1,0.15,"linear",0,61
0.55110296707715,1.42045279959796,1.18928970634213,24.8277470640405,20.874966022255,"Federov with Biased Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.01,33,0,1,0.15,"linear",0,61
0.265276086175662,4.35287640329166,1.54544316312292,77.0475697771824,28.892800043108,"Federov with Uniform Sample","e8255d14-9dc1-4c39-8c64-b7b3634e1db1",0.01,7,0,2,0.15,"linear",0,61
