"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,0.338509285792454,280.839943100703,2,28,0,30,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"uniform","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.1,0.801534883284797,281.941227635368,0,6,2,6,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"uniform","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.01,0.338509285792454,280.839943100703,0,0,2,0,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"uniform","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.001,0.338509285792454,280.839943100703,0,0,2,0,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"uniform","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
Inf,0.594658185238084,386.788773390403,2,28,0,30,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"biased","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.1,0.123648050194884,387.27087906123,0,5,2,5,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"biased","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.01,0.594658185238084,386.788773390403,0,0,2,0,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"biased","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
0.001,0.594658185238084,386.788773390403,0,0,2,0,2,9.20437085791491,1.0233525027521,7.1775173174683,5.82478772383183,5.52839042269625,7.2639124118723,5.44595274259336,6.85484303277917,6.07600310933776,5.37899780087173,8.72411201940849,5.06777324364521,5.54687010240741,6.8959469080437,1.09110168931074,9.66011452372186,8.06552855065092,5.18544565653428,7.85164844361134,5.69239912321791,8.47380292834714,7.97697484260425,8.73363906517625,7.29729201411828,6.88923118170351,7.1440966730006,7.35722592566162,7.36682252842002,7.49693194287829,5.96010373090394,"biased","linear","fa7c56e1-24d2-4be9-8540-1d9375333722",30,30,1.11207939567976
Inf,1.92878964864644,70.4255212535022,3,27,0,30,3,6.91036495380104,7.11764636565931,6.70796161168255,5.72554380982183,7.11442941334099,9.95688577997498,7.56594876758754,9.73971213912591,0.915652915462852,6.15847465931438,6.44592833239585,9.83373711351305,5.58627568883821,6.415207531536,9.87474020221271,8.30463861231692,7.44333625189029,7.75602600653656,1.09853275404312,7.08885516040027,6.65680219070055,9.0484111616388,6.70618935953826,8.95480668055825,1.03957056696527,5.2152692375239,5.45491932076402,7.67561724409461,7.85462065716274,6.12397848628461,"uniform","linear","14a3bdb0-3b0c-4edb-9797-4d58bed3e619",30,30,1.48875818925444
0.1,2.67018410331916,63.1560789432625,2,4,1,6,3,6.91036495380104,7.11764636565931,6.70796161168255,5.72554380982183,7.11442941334099,9.95688577997498,7.56594876758754,9.73971213912591,0.915652915462852,6.15847465931438,6.44592833239585,9.83373711351305,5.58627568883821,6.415207531536,9.87474020221271,8.30463861231692,7.44333625189029,7.75602600653656,1.09853275404312,7.08885516040027,6.65680219070055,9.0484111616388,6.70618935953826,8.95480668055825,1.03957056696527,5.2152692375239,5.45491932076402,7.67561724409461,7.85462065716274,6.12397848628461,"uniform","linear","14a3bdb0-3b0c-4edb-9797-4d58bed3e619",30,30,1.48875818925444
