"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","Y"
-0.9112,-0.9808,-0.9726,-0.924,0.9994,0.874,-0.9424,0.935,0.985,0.9538,0.972,-0.9128,0.8758,-0.873,-0.896,0.8928,-0.8616,0.9918,-0.9882,-0.9132,0.9584,-0.8442,0.875,-0.9738,0.995,-0.6976,-0.9846,0.9342,0.8324,0.9682,20.0756198939956
-0.994,0.9752,-0.582,-0.8114,0.9914,0.8728,0.9526,0.9882,0.9844,-0.8754,0.9202,-0.9516,0.965,-0.9166,0.7894,-0.9878,0.9808,0.8732,-0.9788,-0.9922,0.9728,0.9162,-0.6142,0.982,0.979,-0.969,0.8292,-0.8928,-0.7928,-0.7768,-18.3925787153276
-0.9356,0.8612,0.9436,-0.9012,-0.8188,0.9542,-0.888,0.9016,0.8188,-0.9844,-0.8018,0.8688,-0.9612,0.997,-0.9578,0.9636,-0.9948,-0.73,0.9634,0.9446,-0.8658,0.9616,0.905,-0.8444,0.8844,-0.9376,0.9104,0.6816,-0.9208,0.6124,2.54214321135256
0.8916,-0.7478,-0.9192,0.9712,-0.7618,-0.6352,0.7674,0.871,0.6774,0.974,-0.9264,-0.9002,-0.7818,-0.7544,0.7788,0.9908,0.7488,-0.9028,0.8782,0.9946,-0.6332,0.9654,-0.9298,-0.5754,0.965,0.9666,-0.8862,0.8178,-0.8456,0.9396,22.1321790209436
0.8944,-0.7902,0.9536,0.959,-0.981,-0.9388,-0.9168,0.8782,0.9814,-0.9958,0.7776,-0.9668,-0.9106,0.7588,-0.9864,-0.9068,0.8884,-0.798,-0.957,0.864,0.9976,0.9768,0.944,-0.8952,-0.9956,0.9654,-0.9506,-0.8046,-0.9392,-0.7004,-14.9765935186975
0.8286,0.9022,0.9664,0.931,-0.9954,-0.817,-0.7882,-0.9392,-0.8022,-0.9398,-0.9068,0.6984,0.9868,0.557,0.983,0.7896,-0.9118,-0.956,0.8372,-0.9794,0.9918,-0.9164,-0.8552,0.8958,-0.9898,-0.7528,-0.8898,-0.9658,0.879,-0.9328,-49.2721678172568
0.9582,-0.7626,0.9454,-0.9718,-0.9998,0.9196,0.9938,-0.9714,0.9382,0.8736,0.8864,-0.723,-0.969,0.8974,0.819,0.9626,0.9524,0.3058,0.9144,0.9318,-0.9494,0.926,0.7838,0.9072,0.7304,-0.9372,-1,-0.8884,-0.9784,-0.6364,24.1919132914128
0.9268,0.7854,0.9472,-0.9382,0.8082,-0.8448,0.9574,-0.7546,0.9866,0.8328,0.9468,-0.7652,-0.8864,-0.9066,0.8346,-0.9774,0.9088,0.9416,-0.9978,-0.9626,-0.9664,0.9858,-0.8266,-0.894,-0.8858,-0.8636,-0.8578,0.911,0.8618,0.986,-9.34045236597511
-0.9046,0.787,-0.8944,-0.8292,-0.9638,0.8452,0.99,-0.9062,-0.8814,0.9006,-0.845,-0.999,-0.9882,0.674,-0.9848,-0.9752,-0.8874,0.835,0.6048,0.9952,0.908,0.9484,0.939,-0.7696,-0.9254,-0.4224,-0.6004,0.8974,0.8812,0.8774,-9.46572461397285
0.8602,-0.9192,0.986,0.9776,-0.9542,0.9996,0.7038,0.9244,-0.7258,-0.8812,-0.7758,0.8666,0.8506,-0.8936,-0.8808,-0.9506,-0.8422,-0.9592,0.9968,-0.935,-0.88,0.8316,0.9932,-0.923,0.7984,-0.8864,0.8606,-0.8746,0.8502,0.9114,-11.3217983173485
0.9798,0.8552,-0.8322,-0.9514,0.9672,-0.8048,0.9526,0.8358,0.9546,-0.9956,0.7936,-0.9998,-0.804,-0.7618,-0.8764,0.8272,-0.6464,-0.7632,-0.8226,0.8732,-0.8976,-0.7832,-0.9914,0.793,-0.5822,0.8474,-0.762,0.8304,-0.8982,-0.7346,23.0063317472976
