"X1","X2","absDeff","model","id","deff","d"
0.00320630497299135,0.883369709830731,0.245,"linear_unif",1,0.249,0.328530344342508
0.953016198473051,0.00220220210030675,0.245,"linear_unif",1,0.249,0.328530344342508
0.989116573240608,0.998879667371511,0.245,"linear_unif",1,0.249,0.328530344342508
0.0300919755827636,0.997908139368519,0.167,"linear_unif",2,0.184,0.331330776572882
0.997668857919052,0.0223450006451458,0.167,"linear_unif",2,0.184,0.331330776572882
0.00263263192027807,0.00138400075957179,0.167,"linear_unif",2,0.184,0.331330776572882
0.958538781385869,0.00267412606626749,0.182,"linear_unif",3,0.206,0.327711956301833
0.00404833490028977,0.958657233510166,0.182,"linear_unif",3,0.206,0.327711956301833
0.985016365069896,0.997444304637611,0.182,"linear_unif",3,0.206,0.327711956301833
0.999346064170823,0.486048707505688,0.588,"linear_unif",4,0.628,0.326911862560128
0.00754540204070508,0.0121568371541798,0.588,"linear_unif",4,0.628,0.326911862560128
0.00710779731161892,0.991220131283626,0.588,"linear_unif",4,0.628,0.326911862560128
0.226263315649703,0.000558980973437428,0.322,"linear_unif",5,0.358,0.324680875326385
0.994483983144164,0.95173897058703,0.322,"linear_unif",5,0.358,0.324680875326385
0.000412526540458202,0.97227582312189,0.322,"linear_unif",5,0.358,0.324680875326385
0.965742148458958,0.00281353900209069,0.309,"linear_unif",6,0.345,0.322875196493065
0.00017801346257329,0.209088634699583,0.309,"linear_unif",6,0.345,0.322875196493065
0.936173593159765,0.99643860431388,0.309,"linear_unif",6,0.345,0.322875196493065
0.986691214842722,0.00150503846816719,0.24,"linear_unif",7,0.241,0.326589140645646
0.950858553638682,0.993810157990083,0.24,"linear_unif",7,0.241,0.326589140645646
0.00476108258590102,0.129018140258268,0.24,"linear_unif",7,0.241,0.326589140645646
0.001458226935938,0.976415424840525,0.527,"linear_unif",8,0.572,0.323862889784778
0.978582570562139,0.983303450746462,0.527,"linear_unif",8,0.572,0.323862889784778
0.575422587106004,0.000353699317201972,0.527,"linear_unif",8,0.572,0.323862889784778
0.0042287022806704,0.00512987026013434,0.534,"linear_unif",9,0.596,0.331185723065424
0.564889064291492,0.999275215435773,0.534,"linear_unif",9,0.596,0.331185723065424
0.998621032573283,0.00195356155745685,0.534,"linear_unif",9,0.596,0.331185723065424
0.00815334357321262,0.978883953997865,0.201,"linear_unif",10,0.216,0.322873845753315
0.991156444652006,0.926575718447566,0.201,"linear_unif",10,0.216,0.322873845753315
0.0661233512219042,0.00601235707290471,0.201,"linear_unif",10,0.216,0.322873845753315
0.90910781850107,0.995201990241185,0.273,"linear_unif",11,0.288,0.328340743974897
0.995123609434813,0.000545150134712458,0.273,"linear_unif",11,0.288,0.328340743974897
0.00181015906855464,0.121317551471293,0.273,"linear_unif",11,0.288,0.328340743974897
0.00826351041905582,0.988732399651781,0.194,"linear_unif",12,0.199,0.328201213379496
0.998148851795122,0.969185566995293,0.194,"linear_unif",12,0.199,0.328201213379496
0.0760584936942905,0.000416158465668559,0.194,"linear_unif",12,0.199,0.328201213379496
0.000456411857157946,0.412361919647083,0.503,"linear_unif",13,0.534,0.324875047589018
0.974999148398638,0.988702439935878,0.503,"linear_unif",13,0.534,0.324875047589018
0.983900439227,0.00665209884755313,0.503,"linear_unif",13,0.534,0.324875047589018
0.0201748691033572,0.0253511262126267,0.24,"linear_unif",14,0.287,0.321577477525624
0.999215414281934,0.075147480936721,0.24,"linear_unif",14,0.287,0.321577477525624
0.121526823844761,0.998359665507451,0.24,"linear_unif",14,0.287,0.321577477525624
0.0375068078283221,6.2351580709219e-05,0.231,"linear_unif",15,0.238,0.32843199368104
0.998522300971672,0.882342234952375,0.231,"linear_unif",15,0.238,0.32843199368104
0.0165416903328151,0.998514670878649,0.231,"linear_unif",15,0.238,0.32843199368104
0.996228122385219,0.934059951920062,0.233,"linear_unif",16,0.282,0.327194749881185
0.0977862970903516,0.00121959880925715,0.233,"linear_unif",16,0.282,0.327194749881185
0.00142876664176583,0.983606802299619,0.233,"linear_unif",16,0.282,0.327194749881185
0.990550900110975,0.986860224977136,0.309,"linear_unif",17,0.309,0.324598331517287
0.973243118729442,0.0034474884159863,0.309,"linear_unif",17,0.309,0.324598331517287
0.00966819771565497,0.77531367004849,0.309,"linear_unif",17,0.309,0.324598331517287
0.4880291079171,0.999326083809137,0.593,"linear_unif",18,0.637,0.327971079336542
0.0126404955517501,0.0053282929584384,0.593,"linear_unif",18,0.637,0.327971079336542
0.994818217819557,0.00599158904515207,0.593,"linear_unif",18,0.637,0.327971079336542
0.001276581780985,0.0767812067642808,0.204,"linear_unif",19,0.225,0.323088958191347
0.930749122519046,0.993980192579329,0.204,"linear_unif",19,0.225,0.323088958191347
0.973559831269085,0.00956121785566211,0.204,"linear_unif",19,0.225,0.323088958191347
0.0372685578186065,0.99811894679442,0.216,"linear_unif",20,0.318,0.326724011579602
0.00135489157401025,0.0220027542673051,0.216,"linear_unif",20,0.318,0.326724011579602
0.998613881645724,0.106501918984577,0.216,"linear_unif",20,0.318,0.326724011579602
0.933038699440658,0.999088884796947,0.24,"linear_unif",21,0.27,0.323862055493909
0.989298517815769,0.0213487728033215,0.24,"linear_unif",21,0.27,0.323862055493909
0.0039824869018048,0.122656471561641,0.24,"linear_unif",21,0.27,0.323862055493909
0.998697134433314,0.843705779174343,0.246,"linear_unif",22,0.292,0.329005861844159
0.0140594288241118,0.00284475996159017,0.246,"linear_unif",22,0.292,0.329005861844159
0.0064610168337822,0.992244724417105,0.246,"linear_unif",22,0.292,0.329005861844159
0.00398751557804644,0.256125884596258,0.352,"linear_unif",23,0.434,0.322325651227318
0.939753094222397,0.991719180252403,0.352,"linear_unif",23,0.434,0.322325651227318
0.993141823913902,0.0175390176009387,0.352,"linear_unif",23,0.434,0.322325651227318
0.00364846922457218,0.977659199852496,0.312,"linear_unif",24,0.342,0.327045972521593
0.987548447679728,0.993255659472197,0.312,"linear_unif",24,0.342,0.327045972521593
0.778456109808758,0.00219779065810144,0.312,"linear_unif",24,0.342,0.327045972521593
0.982845371589065,0.0202112679835409,0.454,"linear_unif",25,0.472,0.325357239193998
0.989103489555418,0.998739884467795,0.454,"linear_unif",25,0.472,0.325357239193998
0.00129654002375901,0.635337300598621,0.454,"linear_unif",25,0.472,0.325357239193998
0.0056395111605525,0.991655964637175,0.381,"linear_unif",26,0.452,0.329133843773126
0.306864514248446,0.000244245398789644,0.381,"linear_unif",26,0.452,0.329133843773126
0.993563041323796,0.997375866863877,0.381,"linear_unif",26,0.452,0.329133843773126
0.00131032126955688,0.239539145492017,0.313,"linear_unif",27,0.355,0.329331585422059
0.999446907546371,0.00255869561806321,0.313,"linear_unif",27,0.355,0.329331585422059
0.99445874709636,0.987622664077207,0.313,"linear_unif",27,0.355,0.329331585422059
0.989138941746205,0.00294111156836152,0.296,"linear_unif",28,0.356,0.329561641733852
0.000372188631445169,0.00844619981944561,0.296,"linear_unif",28,0.356,0.329561641733852
0.78086129296571,0.998344804160297,0.296,"linear_unif",28,0.356,0.329561641733852
0.00117357424460351,0.88434981694445,0.224,"linear_unif",29,0.249,0.327576732319396
0.974957237020135,0.000256028957664967,0.224,"linear_unif",29,0.249,0.327576732319396
0.994635670213029,0.982825276907533,0.224,"linear_unif",29,0.249,0.327576732319396
0.986252886475995,0.98736113216728,0.163,"linear_unif",30,0.211,0.325565422096171
0.957204374019057,0.00131277344189584,0.163,"linear_unif",30,0.211,0.325565422096171
0.00716575141996145,0.98121912474744,0.163,"linear_unif",30,0.211,0.325565422096171
0.0286727815400809,0.0209696686360985,0.361,"linear_unif",31,0.415,0.315947567327439
0.99867837689817,0.196736901532859,0.361,"linear_unif",31,0.415,0.315947567327439
0.155390229774639,0.995258912676945,0.361,"linear_unif",31,0.415,0.315947567327439
0.0018441709689796,0.954333029920235,0.22,"linear_unif",32,0.228,0.327986894182852
