"x1","x2","x3","x4","x5","x6","x7","x8"
-0.0608,-0.8606,0.0286,0.9436,0.9792,-0.0466,0.189,-0.9408
0.0490000000000002,0.0684,-0.9614,-0.0384,-0.967,-0.0646,0.9684,-0.9396
-0.1406,-0.9118,-0.0155999999999999,-0.953,-0.9466,-0.9334,0.0230000000000001,0.0250000000000001
0.8494,-0.909,-0.7,0.9648,0.0490000000000002,0.8398,0.9826,-0.0125999999999999
-0.5674,-0.1172,-0.8556,-0.0524,0.7616,-0.0202,-0.0768,-0.0252
-0.0618,0.9576,0.0772000000000002,-0.831,0.079,-0.0863999999999999,0.9818,0.9998
0.9334,0.0188000000000001,-0.515,-0.9966,-0.9414,-0.00159999999999993,-0.9226,-0.1112
-0.0598,-0.7648,-0.9218,-0.7422,0.856,0.8596,-0.9518,0.9714
0.8954,0.0372000000000001,-0.0332,0.9498,0.8462,-0.991,0.9254,0.7676
-0.9666,-0.9226,0.9832,-0.894,0.9448,0.0228000000000002,0.9876,0.0526
0.945,-0.6812,0.9838,0.1148,-0.9926,0.1092,0.0416000000000001,0.9792
-0.9654,-0.0406,0.0736000000000001,0.9768,-0.984,0.8814,0.0672000000000001,0.9878
-0.8402,0.9682,-0.9754,0.996,-0.7034,-0.9486,-0.0499999999999999,0.0492000000000001
0.7248,0.9862,0.8612,-0.0494,0.9972,0.973,0.8512,-0.0908
0.9922,0.0238,-0.9254,-0.9948,0.0376000000000001,-0.9506,0.0162,-0.9092
0.1098,-0.0294,0.967,0.9818,0.0688,0.8094,-0.9346,-0.0199999999999999
-0.978,-0.8988,0.1016,0.0294000000000001,-0.0282,-0.8898,-0.8194,-0.941
